category_id,levels_id,questionText,option_a,option_b,option_c,option_d,correct_option
1,1,What is water's state at 100°C?,Solid,Liquid,Gas,Plasma,C
1,2,Unit of electric current?,Volt,Ohm,Ampere,Watt,C
1,3,Main function of mitochondria?,Digestion,Storage,Energy,Respiration,C
1,1,Which organ pumps blood?,Heart,Lung,Liver,Kidney,A
1,2,What does thermometer measure?,Time,Pressure,Temperature,Speed,C
1,3,Who developed relativity?,Newton,Galileo,Einstein,Tesla,C
1,1,Most abundant gas in air?,Oxygen,Helium,Nitrogen,Carbon dioxide,C
1,2,What is photosynthesis?,Digestion,Cell energy,Plant food,Sound to light,C
1,3,State of matter of ice?,Solid,Liquid,Gas,Plasma,A
1,1,Boiling point of water?,50°C,75°C,100°C,120°C,C
2,1,First king of Portugal?,John I,Afonso I,Peter I,Manuel I,B
2,2,Year of Portuguese Republic?,1910,1822,1640,1974,A
2,3,Treaty ending WWI?,Versailles,Paris,Tordesillas,Lisbon,A
2,1,Leader of 1974 Revolution?,Salazar,Marcelo,MFA,Carlos,C
2,2,Portuguese navigator to India?,Dias,Columbus,Cabral,Vasco,D
2,3,Country invaded to start WWII?,France,Austria,Poland,Belgium,C
2,1,Who was Napoleon?,English king,French emperor,Russian czar,US president,B
2,2,Century of French Revolution?,17th,18th,19th,20th,B
2,3,Capital of France?,Paris,Lyon,Marseille,Nice,A
2,1,Year Brazil became independent?,1822,1889,1500,1900,A
3,1,Number of continents?,5,6,7,8,C
3,2,Largest ocean?,Atlantic,Indian,Pacific,Arctic,C
3,3,Andes mountains continent?,Asia,South America,Europe,Africa,B
3,1,Country with largest population?,India,China,USA,Brazil,A
3,2,Country with Istanbul?,Greece,Turkey,Iran,Syria,B
3,3,Which country has Eiffel Tower?,France,Italy,Germany,Spain,A
3,1,Highest mountain in world?,Everest,K2,Kilimanjaro,Elbrus,A
3,2,Longest river?,Nile,Amazon,Yangtze,Mississippi,A
3,3,Largest desert?,Sahara,Gobi,Kalahari,Atacama,A
3,1,Country of Great Wall?,China,Japan,Korea,India,A
4,1,"What does ""www"" mean?",World Wide Web,Web World Wide,Wide World Web,World Web Wide,A
4,2,Who founded Microsoft?,Steve Jobs,Mark Zuckerberg,Bill Gates,Elon Musk,C
4,3,What is AI?,Robot,Programming,Machine Intelligence,OS,C
4,1,Which is an operating system?,Photoshop,Android,Excel,Chrome,B
4,2,What is a byte?,Virus,Image,Storage unit,Program,C
4,3,Most used web language?,Python,C++,HTML,Java,C
4,1,What is cloud computing?,Satellite,Remote storage,Cooling system,App,B
4,2,Who created WWW?,Bill Gates,Tim Berners-Lee,Steve Jobs,Elon Musk,B
4,3,What is HTTP?,Protocol,Server,Browser,Website,A
4,1,Port number for HTTP?,80,443,21,22,A
5,1,Team size in football?,10,11,12,9,B
5,2,2018 World Cup winner?,Germany,Brazil,France,Argentina,C
5,3,Rafael Nadal Grand Slams?,20,21,22,23,C
5,1,Most popular sport?,Basketball,Football,Tennis,Rugby,B
5,2,Rugby try points?,3,4,5,6,C
5,3,2020 Olympics country?,Brazil,China,Japan,France,C
5,1,Famous cycling race?,Giro,Vuelta,Tour,Volta,C
5,2,Cristiano Ronaldo's birth country?,Spain,Portugal,Brazil,Italy,B
5,3,Champions League top scorer?,Messi,Ronaldo,Neymar,Lewandowski,B
5,1,FIFA 2022 World Cup winner?,Argentina,France,Brazil,Germany,A
5,2,Fastest land animal?,Cheetah,Lion,Tiger,Leopard,A
5,3,Largest planet?,Earth,Mars,Jupiter,Saturn,C
5,1,Light speed unit?,km/h,m/s,km/s,Light-year,C
5,2,Primary colors?,Red,Green,Blue,Yellow,A
5,3,Chemical symbol for gold?,Au,Ag,Fe,Pt,A
5,1,H2O is?,Water,Oxygen,Hydrogen,Salt,A
5,2,Square root of 81?,7,8,9,10,C
5,3,First element?,Hydrogen,Helium,Lithium,Carbon,A
5,1,Fastest bird?,Falcon,Eagle,Sparrow,Ostrich,A
5,2,Largest mammal?,Elephant,Blue whale,Hippopotamus,Rhino,B